record_id,row_index,image_rel,raw_score_text,qwen_raw_text,ocr_text,final_score,final_source,need_review,review_reason,manual_score,review_note
file_00000,0,score_annotation_export/score_crops/file_00000_row_00.png,2020,9,9,9,qwen,TRUE,low_box_conf|qwen_raw_mismatch,,
file_00000,1,score_annotation_export/score_crops/file_00000_row_01.png,777,6,6,6,qwen,TRUE,qwen_raw_mismatch,,
file_00000,2,score_annotation_export/score_crops/file_00000_row_02.png,2020,30,30,30,qwen,TRUE,low_box_conf|qwen_raw_mismatch,,
file_00000,3,score_annotation_export/score_crops/file_00000_row_03.png,810,6,6,6,qwen,TRUE,low_box_conf,,
file_00000,4,score_annotation_export/score_crops/file_00000_row_04.png,555000000,9,9,9,qwen,TRUE,low_box_conf,,
file_00000,5,score_annotation_export/score_crops/file_00000_row_05.png,555444222,662,662,662,qwen,TRUE,low_box_conf,,
file_00000,6,score_annotation_export/score_crops/file_00000_row_06.png,825,0,0,0,qwen,TRUE,low_box_conf|qwen_raw_mismatch,,
file_00000,7,score_annotation_export/score_crops/file_00000_row_07.png,66659,9,9,9,qwen,TRUE,low_box_conf|qwen_raw_mismatch,,
file_00000,8,score_annotation_export/score_crops/file_00000_row_08.png,2020,UNKNOWN,,2020,raw_fallback,TRUE,low_box_conf|qwen_unknown,,
file_00000,9,score_annotation_export/score_crops/file_00000_row_09.png,66661000000,909,909,909,qwen,TRUE,low_box_conf,,
file_00001,0,score_annotation_export/score_crops/file_00001_row_00.png,33289425,2,2,2,qwen,TRUE,low_box_conf,,
file_00001,1,score_annotation_export/score_crops/file_00001_row_01.png,333425333,66,66,66,qwen,TRUE,low_box_conf,,
file_00001,2,score_annotation_export/score_crops/file_00001_row_02.png,555555333,0,0,0,qwen,TRUE,low_box_conf,,
file_00001,3,score_annotation_export/score_crops/file_00001_row_03.png,0,0,0,0,qwen,TRUE,low_box_conf,,
file_00001,4,score_annotation_export/score_crops/file_00001_row_04.png,555425333,2,2,2,qwen,FALSE,,,
file_00001,5,score_annotation_export/score_crops/file_00001_row_05.png,111111333,7,7,7,qwen,FALSE,,,
file_00001,6,score_annotation_export/score_crops/file_00001_row_06.png,659202,0,0,0,qwen,TRUE,low_box_conf,,
file_00001,7,score_annotation_export/score_crops/file_00001_row_07.png,0,1,1,1,qwen,TRUE,low_box_conf,,
file_00001,8,score_annotation_export/score_crops/file_00001_row_08.png,401101425,9760,9760,9760,qwen,TRUE,low_box_conf,,
file_00002,0,score_annotation_export/score_crops/file_00002_row_00.png,8.88E+14,10,10,10,qwen,TRUE,low_box_conf,,
file_00002,1,score_annotation_export/score_crops/file_00002_row_01.png,555512,9,9,9,qwen,TRUE,low_box_conf,,
file_00002,2,score_annotation_export/score_crops/file_00002_row_02.png,6.66555E+11,1,1,1,qwen,TRUE,low_box_conf,,
file_00002,3,score_annotation_export/score_crops/file_00002_row_03.png,555052,30,30,30,qwen,TRUE,low_box_conf,,
file_00002,4,score_annotation_export/score_crops/file_00002_row_04.png,5550505,2,2,2,qwen,TRUE,low_box_conf,,
file_00002,5,score_annotation_export/score_crops/file_00002_row_05.png,0,60,60,60,qwen,TRUE,low_box_conf,,
file_00002,6,score_annotation_export/score_crops/file_00002_row_06.png,5550505,9,9,9,qwen,TRUE,low_box_conf,,
file_00002,7,score_annotation_export/score_crops/file_00002_row_07.png,2850518,20,20,20,qwen,TRUE,low_box_conf,,
file_00002,8,score_annotation_export/score_crops/file_00002_row_08.png,0,1,1,1,qwen,FALSE,,,
file_00002,9,score_annotation_export/score_crops/file_00002_row_09.png,0,1,1,1,qwen,TRUE,low_box_conf,,
file_00003,0,score_annotation_export/score_crops/file_00003_row_00.png,5550572,4,4,4,qwen,TRUE,low_box_conf,,
file_00003,1,score_annotation_export/score_crops/file_00003_row_01.png,787202,13,13,13,qwen,TRUE,low_box_conf,,
file_00003,2,score_annotation_export/score_crops/file_00003_row_02.png,5555945,10,10,10,qwen,TRUE,low_box_conf,,
file_00003,3,score_annotation_export/score_crops/file_00003_row_03.png,5558006,1,1,1,qwen,TRUE,low_box_conf,,
file_00003,4,score_annotation_export/score_crops/file_00003_row_04.png,4569695,2,2,2,qwen,TRUE,low_box_conf,,
file_00003,5,score_annotation_export/score_crops/file_00003_row_05.png,5558959,5,5,5,qwen,TRUE,low_box_conf,,
file_00003,6,score_annotation_export/score_crops/file_00003_row_06.png,801,1,1,1,qwen,TRUE,low_box_conf,,
file_00003,7,score_annotation_export/score_crops/file_00003_row_07.png,2118959,1,1,1,qwen,TRUE,low_box_conf,,
file_00003,8,score_annotation_export/score_crops/file_00003_row_08.png,85961,0,0,0,qwen,TRUE,low_box_conf,,
file_00004,0,score_annotation_export/score_crops/file_00004_row_00.png,0,1,1,1,qwen,TRUE,low_box_conf,,
file_00004,1,score_annotation_export/score_crops/file_00004_row_01.png,22820000000,1,1,1,qwen,TRUE,low_box_conf,,
file_00004,2,score_annotation_export/score_crops/file_00004_row_02.png,5E+14,6,6,6,qwen,TRUE,low_box_conf,,
file_00004,3,score_annotation_export/score_crops/file_00004_row_03.png,4.44444E+11,1,1,1,qwen,TRUE,low_box_conf,,
file_00004,4,score_annotation_export/score_crops/file_00004_row_04.png,8.8E+14,2,2,2,qwen,TRUE,low_box_conf,,
file_00004,5,score_annotation_export/score_crops/file_00004_row_05.png,8,3,3,3,qwen,TRUE,low_box_conf,,
file_00004,6,score_annotation_export/score_crops/file_00004_row_06.png,555,1,1,1,qwen,TRUE,qwen_raw_mismatch,,
file_00004,7,score_annotation_export/score_crops/file_00004_row_07.png,555452,1,1,1,qwen,TRUE,low_box_conf,,
file_00005,0,score_annotation_export/score_crops/file_00005_row_00.png,8.88E+14,UNKNOWN,,,review_required,TRUE,no_valid|qwen_unknown,,
file_00005,1,score_annotation_export/score_crops/file_00005_row_01.png,55590,5,5,5,qwen,TRUE,qwen_raw_mismatch,,
file_00005,2,score_annotation_export/score_crops/file_00005_row_02.png,110196,5,5,5,qwen,FALSE,,,
file_00005,3,score_annotation_export/score_crops/file_00005_row_03.png,456452,2,2,2,qwen,TRUE,low_box_conf,,
file_00005,4,score_annotation_export/score_crops/file_00005_row_04.png,4442500,2,2,2,qwen,FALSE,,,
file_00005,5,score_annotation_export/score_crops/file_00005_row_05.png,555555,2,2,2,qwen,TRUE,low_box_conf,,
file_00005,6,score_annotation_export/score_crops/file_00005_row_06.png,555333333,1,1,1,qwen,TRUE,low_box_conf,,
file_00005,7,score_annotation_export/score_crops/file_00005_row_07.png,2.22E+14,4,4,4,qwen,FALSE,,,
file_00005,8,score_annotation_export/score_crops/file_00005_row_08.png,3000,UNKNOWN,,3000,raw_fallback,TRUE,low_box_conf|qwen_unknown,,
file_00005,9,score_annotation_export/score_crops/file_00005_row_09.png,522,7,7,7,qwen,TRUE,low_box_conf|qwen_raw_mismatch,,
file_00006,0,score_annotation_export/score_crops/file_00006_row_00.png,8880805,1,1,1,qwen,FALSE,,,
file_00006,1,score_annotation_export/score_crops/file_00006_row_01.png,0,4,4,4,qwen,FALSE,,,
file_00006,2,score_annotation_export/score_crops/file_00006_row_02.png,0,2,2,2,qwen,FALSE,,,
file_00006,3,score_annotation_export/score_crops/file_00006_row_03.png,5.55E+14,UNKNOWN,,,review_required,TRUE,no_valid|qwen_unknown,,
file_00006,4,score_annotation_export/score_crops/file_00006_row_04.png,45641561,1,1,1,qwen,FALSE,,,
file_00006,5,score_annotation_export/score_crops/file_00006_row_05.png,5.55425E+11,2,2,2,qwen,FALSE,,,
