id,record_id,batch_index,row_index,form_type,source_parent,source_basename,image_rel,raw_score_text,qwen_raw_text,ocr_text,ocr_mode,final_score,final_source,need_review,review_reason,manual_score,review_note
file_00000_row_00,file_00000,0,0,party_list,election_data\อำเภอน้ำขุ่น\ตำบลขี้เหล็ก\หน่วยที่ 1,ส.ส.5_18(บช).pdf,score_annotation_export/score_crops/file_00000_row_00_ส_ส_5_18_บช__pdf.png,22809,digit=0 | word=0 | local_zero_like=True,0,zero_local_accept,0.0,qwen,False,zero_local_accept,,
file_00000_row_01,file_00000,0,1,party_list,election_data\อำเภอน้ำขุ่น\ตำบลขี้เหล็ก\หน่วยที่ 1,ส.ส.5_18(บช).pdf,score_annotation_export/score_crops/file_00000_row_01_ส_ส_5_18_บช__pdf.png,666000000000000,digit=17 | word=1,17,digit_word_mismatch,17.0,qwen_soft_accept,False,mismatch_soft_accept,,
file_00000_row_02,file_00000,0,2,party_list,election_data\อำเภอน้ำขุ่น\ตำบลขี้เหล็ก\หน่วยที่ 1,ส.ส.5_18(บช).pdf,score_annotation_export/score_crops/file_00000_row_02_ส_ส_5_18_บช__pdf.png,666542,digit=2,2,digit_primary_fast,2.0,qwen,False,digit_primary_fast,,
file_00000_row_03,file_00000,0,3,party_list,election_data\อำเภอน้ำขุ่น\ตำบลขี้เหล็ก\หน่วยที่ 1,ส.ส.5_18(บช).pdf,score_annotation_export/score_crops/file_00000_row_03_ส_ส_5_18_บช__pdf.png,555333333,digit=1 | word=1,1,digit_word_agree,1.0,qwen,False,digit_word_agree,,
file_00000_row_05,file_00000,0,5,party_list,election_data\อำเภอน้ำขุ่น\ตำบลขี้เหล็ก\หน่วยที่ 1,ส.ส.5_18(บช).pdf,score_annotation_export/score_crops/file_00000_row_05_ส_ส_5_18_บช__pdf.png,888000000000000,digit=1 | word=1,1,digit_word_agree,1.0,qwen,False,digit_word_agree,,
file_00000_row_06,file_00000,0,6,party_list,election_data\อำเภอน้ำขุ่น\ตำบลขี้เหล็ก\หน่วยที่ 1,ส.ส.5_18(บช).pdf,score_annotation_export/score_crops/file_00000_row_06_ส_ส_5_18_บช__pdf.png,666000000000000,digit=0 | word=1,0,digit_word_mismatch,0.0,qwen_soft_accept,False,mismatch_soft_accept,,
file_00000_row_07,file_00000,0,7,party_list,election_data\อำเภอน้ำขุ่น\ตำบลขี้เหล็ก\หน่วยที่ 1,ส.ส.5_18(บช).pdf,score_annotation_export/score_crops/file_00000_row_07_ส_ส_5_18_บช__pdf.png,000000000000,digit=7 -> local_zero_fix | word=1,0,digit_word_mismatch,0.0,qwen_soft_accept,False,mismatch_soft_accept,,
file_00000_row_08,file_00000,0,8,party_list,election_data\อำเภอน้ำขุ่น\ตำบลขี้เหล็ก\หน่วยที่ 1,ส.ส.5_18(บช).pdf,score_annotation_export/score_crops/file_00000_row_08_ส_ส_5_18_บช__pdf.png,55559,digit=17 | word=1,17,digit_word_mismatch,17.0,qwen_soft_accept,False,mismatch_soft_accept,,
file_00000_row_09,file_00000,0,9,party_list,election_data\อำเภอน้ำขุ่น\ตำบลขี้เหล็ก\หน่วยที่ 1,ส.ส.5_18(บช).pdf,score_annotation_export/score_crops/file_00000_row_09_ส_ส_5_18_บช__pdf.png,22859,digit=0 | word=7,0,digit_word_mismatch,0.0,qwen_soft_accept,False,mismatch_soft_accept,,
file_00001_row_00,file_00001,1,0,constituency,election_data\อำเภอน้ำขุ่น\ตำบลขี้เหล็ก\หน่วยที่ 1,ส.ส.5_18.pdf,score_annotation_export/score_crops/file_00001_row_00_ส_ส_5_18_pdf.png,555452,digit=7 | word=109,7,digit_word_mismatch,7.0,qwen_unverified,True,mismatch_word_long,,
file_00001_row_01,file_00001,1,1,constituency,election_data\อำเภอน้ำขุ่น\ตำบลขี้เหล็ก\หน่วยที่ 1,ส.ส.5_18.pdf,score_annotation_export/score_crops/file_00001_row_01_ส_ส_5_18_pdf.png,55559,digit=252,252,digit_primary_fast,252.0,qwen,False,digit_primary_fast,,
file_00001_row_02,file_00001,1,2,constituency,election_data\อำเภอน้ำขุ่น\ตำบลขี้เหล็ก\หน่วยที่ 1,ส.ส.5_18.pdf,score_annotation_export/score_crops/file_00001_row_02_ส_ส_5_18_pdf.png,000000000000,digit=7 | word=100,7,digit_word_mismatch,7.0,qwen_unverified,True,mismatch_word_long,,
file_00001_row_03,file_00001,1,3,constituency,election_data\อำเภอน้ำขุ่น\ตำบลขี้เหล็ก\หน่วยที่ 1,ส.ส.5_18.pdf,score_annotation_export/score_crops/file_00001_row_03_ส_ส_5_18_pdf.png,000000000000,digit=5,5,digit_primary_fast,5.0,qwen,False,digit_primary_fast,,
file_00001_row_04,file_00001,1,4,constituency,election_data\อำเภอน้ำขุ่น\ตำบลขี้เหล็ก\หน่วยที่ 1,ส.ส.5_18.pdf,score_annotation_export/score_crops/file_00001_row_04_ส_ส_5_18_pdf.png,555952,digit=9,9,digit_primary_fast,9.0,qwen,False,digit_primary_fast,,
file_00001_row_05,file_00001,1,5,constituency,election_data\อำเภอน้ำขุ่น\ตำบลขี้เหล็ก\หน่วยที่ 1,ส.ส.5_18.pdf,score_annotation_export/score_crops/file_00001_row_05_ส_ส_5_18_pdf.png,555333333,digit=8,8,digit_primary_fast,8.0,qwen,False,digit_primary_fast,,
file_00002_row_00,file_00002,2,0,party_list,election_data\อำเภอน้ำขุ่น\ตำบลขี้เหล็ก\หน่วยที่ 10,ส.ส.5_18(บช).pdf,score_annotation_export/score_crops/file_00002_row_00_ส_ส_5_18_บช__pdf.png,333333333,digit=9,9,digit_primary_fast,9.0,qwen,False,digit_primary_fast,,
file_00002_row_01,file_00002,2,1,party_list,election_data\อำเภอน้ำขุ่น\ตำบลขี้เหล็ก\หน่วยที่ 10,ส.ส.5_18(บช).pdf,score_annotation_export/score_crops/file_00002_row_01_ส_ส_5_18_บช__pdf.png,333000000,digit=4 -> local_zero_fix | word=1,0,digit_word_mismatch,0.0,qwen_soft_accept,False,mismatch_soft_accept,,
file_00002_row_02,file_00002,2,2,party_list,election_data\อำเภอน้ำขุ่น\ตำบลขี้เหล็ก\หน่วยที่ 10,ส.ส.5_18(บช).pdf,score_annotation_export/score_crops/file_00002_row_02_ส_ส_5_18_บช__pdf.png,3333335000,digit=1 -> local_zero_fix | word=1,0,digit_word_mismatch,0.0,qwen_soft_accept,False,mismatch_soft_accept,,
